# https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population;;;;
2019 rank;Name;State;2019 estimate;Land area
177;Joliet;Illinois;147 344;166,8
178;Murfreesboro;Tennessee;1 469;144,8
179;Midland;Texas;146 038;192,7
180;Rockford;Illinois;145 609;164,5
181;Paterson;New Jersey;145 233;21,8
182;Savannah;Georgia;144 464;268,3
183;Bridgeport;Connecticut;144 399;41,7
184;Torrance;California;143 592;53,1
185;McAllen;Texas;143 268;151,3
186;Syracuse;New York;142 327;64,7
187;Surprise;Arizona;141 664;279,5
188;Denton;Texas;141 541;241,9
189;Roseville;California;1 415;111,4
190;Thornton;Colorado;141 464;92,5
191;Miramar;Florida;141 191;76,1
192;Pasadena;California;141 029;59,6
193;Mesquite;Texas;140 937;122,2
194;Olathe;Kansas;140 545;157,7
195;Dayton;Ohio;140 407;144,3
196;Carrollton;Texas;139 248;94
197;Waco;Texas;139 236;230,5
198;Orange;California;138 669;65,8
199;Fullerton;California;138 632;58
200;Charleston;South Carolina;137 566;282,3
201;West Valley City;Utah;135 248;91,9
202;Visalia;California;134 605;97,1
203;Hampton;Virginia;13 451;133,4
204;Gainesville;Florida;133 997;161,4
205;Warren;Michigan;133 943;89,1
206;Coral Springs;Florida;133 759;61,6
207;Cedar Rapids;Iowa;133 562;183,4
208;Round Rock;Texas;133 372;92,2
209;Sterling Heights;Michigan;132 438;94,5
210;Kent;Washington;132 319;87,3
211;Columbia;South Carolina;131 674;345,8
212;Santa Clara;California;130 365;47,7
213;New Haven;Connecticut;13 025;48,4
214;Stamford;Connecticut;129 638;97,4
215;Concord;California;129 295;79
216;Elizabeth;New Jersey;129 216;31,9
217;Athens;Georgia;126 913;301,5
218;Thousand Oaks;California;126 813;143
219;Lafayette;Louisiana;126 185;139,3
220;Simi Valley;California;125 613;107,5
221;Topeka;Kansas;12 531;159,3
222;Norman;Oklahoma;12 488;463,1
223;Fargo;North Dakota;124 662;127,7
224;Wilmington;North Carolina;123 744;133,6
225;Abilene;Texas;12 342;276,4
226;Odessa;Texas;123 334;117,1
227;Columbia;Missouri;123 195;168,3
228;Pearland;Texas;12 246;119,9
229;Victorville;California;122 385;189,8
230;Hartford;Connecticut;122 105;45,1
231;Vallejo;California;121 692;79,5
232;Allentown;Pennsylvania;121 442;45,3
233;Berkeley;California;121 363;27,2
234;Richardson;Texas;121 323;74,1
235;Arvada;Colorado;121 272;100
236;Ann Arbor;Michigan;11 998;72,8
237;Rochester;Minnesota;118 935;141,4
238;Cambridge;Massachusetts;118 927;16,6
239;Sugar Land;Texas;118 488;88,1
240;Lansing;Michigan;11 821;101,3
241;Evansville;Indiana;117 979;122,5
242;College Station;Texas;117 911;132,1
243;Fairfield;California;117 133;105,9
244;Clearwater;Florida;116 946;67,1
245;Beaumont;Texas;116 825;212,6
246;Independence;Missouri;116 672;201,5
247;Provo;Utah;116 618;108
248;West Jordan;Utah;11 648;83,7
249;Murrieta;California;116 223;87
250;Palm Bay;Florida;115 552;170,2
251;El Monte;California;115 487;24,9
252;Carlsbad;California;115 382;97,6
252;North Charleston;South Carolina;115 382;190,9
254;Temecula;California;114 761;96,6
255;Clovis;California;114 584;62,7
256;Springfield;Illinois;11 423;155,7
257;Meridian;Idaho;114 161;77,2
258;Westminster;Colorado;113 166;82,1
259;Costa Mesa;California;113 003;40,7
260;High Point;North Carolina;112 791;143
261;Manchester;New Hampshire;112 673;85,7
262;Pueblo;Colorado;112 361;138,8
263;Lakeland;Florida;112 136;170,7
264;Pompano Beach;Florida;112 118;62,2
265;West Palm Beach;Florida;111 955;142,7
266;Antioch;California;111 502;76,1
267;Everett;Washington;111 475;86,2
268;Downey;California;111 126;32,1
269;Lowell;Massachusetts;110 997;35,2
270;Centennial;Colorado;110 937;76,4
271;Elgin;Illinois;110 849;96,9
272;Richmond;California;110 567;78
273;Peoria;Illinois;110 417;124,8
274;Broken Arrow;Oklahoma;110 198;159,8
275;Miami Gardens;Florida;110 001;47,1
276;Billings;Montana;109 577;113,2
